Entity,Event,OrdStartLoc,PatStartLoc,Dest,Time
Orderly7,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:03:02
Orderly9,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:04:23
Orderly1,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 00:05:54
Orderly4,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 00:06:14
Orderly9,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:09:55
Orderly5,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 00:11:21
Orderly4,PatientTransit.start-wait-task,None,None,None,01/01/2022 00:12:25
Orderly1,PatientTransit.pickup-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 00:13:02
Orderly5,PatientTransit.start-wait-task,None,None,None,01/01/2022 00:14:30
Orderly1,PatientTransit.travel-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 00:17:30
Orderly6,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 00:18:33
Orderly1,PatientTransit.dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 00:18:34
Orderly7,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:18:39
Orderly2,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:19:30
Orderly7,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:21:09
Orderly8,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:21:23
Orderly2,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:21:26
Orderly9,PatientTransit.orderly-to-patient-start,Wards_Submodel,Wards_Submodel,ED_Submodel,01/01/2022 00:21:55
Orderly8,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:22:09
Orderly8,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:23:09
Orderly2,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:23:24
Orderly9,PatientTransit.pickup-start,Wards_Submodel,Wards_Submodel,ED_Submodel,01/01/2022 00:25:39
Orderly3,PatientTransit.pickup-start,Wards_Submodel,ED_Submodel,Wards_Submodel,01/01/2022 00:26:46
Orderly3,PatientTransit.travel-start,Wards_Submodel,ED_Submodel,Wards_Submodel,01/01/2022 00:27:12
Orderly1,PatientTransit.wait-dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 00:28:29
Orderly6,PatientTransit.start-wait-task,None,None,None,01/01/2022 00:30:25
Orderly7,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:30:44
Orderly8,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:33:05
Orderly3,PatientTransit.dropoff-start,Wards_Submodel,ED_Submodel,Wards_Submodel,01/01/2022 00:33:31
Orderly8,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:36:23
Orderly7,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:38:48
Orderly2,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:41:47
Orderly3,PatientTransit.wait-dropoff-start,Wards_Submodel,ED_Submodel,Wards_Submodel,01/01/2022 00:44:19
Orderly9,PatientTransit.travel-start,Wards_Submodel,Wards_Submodel,ED_Submodel,01/01/2022 00:46:02
Orderly1,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 00:48:29
Orderly2,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:49:09
Orderly1,PatientTransit.start-wait-task,None,None,None,01/01/2022 00:51:16
Orderly4,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 00:54:39
Orderly8,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 00:56:23
Orderly7,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 00:58:48
Orderly8,PatientTransit.start-wait-task,None,None,None,01/01/2022 01:02:17
Orderly5,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:02:42
Orderly3,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 01:04:19
Orderly6,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:05:55
Orderly2,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 01:09:09
Orderly2,PatientTransit.start-wait-task,None,None,None,01/01/2022 01:11:28
Orderly5,PatientTransit.pickup-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:13:35
Orderly5,PatientTransit.travel-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:13:53
Orderly9,PatientTransit.dropoff-start,Wards_Submodel,Wards_Submodel,ED_Submodel,01/01/2022 01:15:08
Orderly1,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:15:17
Orderly9,PatientTransit.wait-dropoff-start,Wards_Submodel,Wards_Submodel,ED_Submodel,01/01/2022 01:15:25
Orderly1,PatientTransit.pickup-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:15:35
Orderly8,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:16:29
Orderly8,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:17:18
Orderly7,PatientTransit.start-wait-task,None,None,None,01/01/2022 01:17:25
Orderly6,PatientTransit.pickup-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:19:34
Orderly3,PatientTransit.start-wait-task,None,None,None,01/01/2022 01:20:33
Orderly8,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:21:22
Orderly1,PatientTransit.travel-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:23:52
Orderly2,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:28:00
Orderly4,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:32:34
Orderly4,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:33:22
Orderly6,PatientTransit.travel-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:34:01
Orderly4,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:34:16
Orderly2,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:35:07
Orderly9,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 01:35:25
Orderly5,PatientTransit.dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:36:06
Orderly5,PatientTransit.wait-dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:39:06
Orderly2,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:41:16
Orderly6,PatientTransit.dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:41:18
Orderly2,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:42:03
Orderly4,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:43:17
Orderly2,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:44:55
Orderly8,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:46:19
Orderly1,PatientTransit.dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:46:44
Orderly6,PatientTransit.wait-dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 01:46:56
Orderly9,PatientTransit.start-wait-task,None,None,None,01/01/2022 01:47:48
Orderly7,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:49:44
Orderly8,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:50:01
Orderly7,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 01:51:47
Orderly5,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 01:59:06
Orderly7,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:02:27
Orderly4,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 02:03:17
Orderly5,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:04:53
Orderly2,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 02:04:55
Orderly6,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 02:06:56
Orderly1,PatientTransit.wait-dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 02:09:08
Orderly8,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 02:10:01
Orderly3,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:10:18
Orderly3,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:11:33
Orderly2,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:12:40
Orderly6,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:12:54
Orderly8,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:16:41
Orderly3,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:17:01
Orderly7,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:21:33
Orderly4,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:22:33
Orderly9,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:25:29
Orderly7,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:25:36
Orderly3,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:28:33
Orderly1,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 02:29:08
Orderly9,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:30:01
Orderly3,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:30:22
Orderly5,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:34:01
Orderly9,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:36:53
Orderly1,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:39:25
Orderly9,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:41:58
Orderly7,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 02:45:36
Orderly5,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:46:35
Orderly2,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 02:46:54
Orderly9,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:47:21
Orderly3,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 02:50:22
Orderly2,PatientTransit.pickup-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 02:51:39
Orderly2,PatientTransit.travel-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 02:52:06
Orderly7,PatientTransit.start-wait-task,None,None,None,01/01/2022 02:52:57
Orderly6,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 02:53:30
Orderly5,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:01:54
Orderly3,PatientTransit.start-wait-task,None,None,None,01/01/2022 03:05:58
Orderly9,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 03:07:21
Orderly9,PatientTransit.start-wait-task,None,None,None,01/01/2022 03:07:35
Orderly2,PatientTransit.dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 03:10:29
Orderly6,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:10:31
Orderly5,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:14:21
Orderly2,PatientTransit.wait-dropoff-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 03:14:57
Orderly6,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:23:30
Orderly5,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:29:56
Orderly2,PatientTransit.start-base-travel,ED_Submodel,None,OrderlyBase,01/01/2022 03:34:57
Orderly6,PatientTransit.dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:36:32
Orderly6,PatientTransit.wait-dropoff-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:42:57
Orderly8,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:48:38
Orderly5,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 03:49:56
Orderly5,PatientTransit.start-wait-task,None,None,None,01/01/2022 03:50:55
Orderly4,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:53:57
Orderly1,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:54:21
Orderly2,PatientTransit.start-wait-task,None,None,None,01/01/2022 03:55:36
Orderly1,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:55:56
Orderly8,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 03:56:28
Orderly7,PatientTransit.orderly-to-patient-start,OrderlyBase,Wards_Submodel,ED_Submodel,01/01/2022 04:00:24
Orderly3,PatientTransit.orderly-to-patient-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 04:00:38
Orderly8,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 04:00:42
Orderly1,PatientTransit.travel-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 04:00:52
Orderly6,PatientTransit.start-base-travel,Wards_Submodel,None,OrderlyBase,01/01/2022 04:02:57
Orderly4,PatientTransit.pickup-start,OrderlyBase,ED_Submodel,Wards_Submodel,01/01/2022 04:04:40
